facts 493.60ms 
answer set 596.25ms 
facts 435.80ms 
answer set 522.00ms 
facts 374.60ms 
answer set 449.25ms 
facts 505.88ms 
answer set 620.50ms 
facts 949.45ms 
answer set 1,102.55ms 
facts 119.00ms 
answer set 266.00ms 
facts 35.00ms 
answer set 258.00ms 
facts NaNms 
answer set NaNms 
facts 98.00ms 
answer set 250.00ms 
facts 100.00ms 
answer set 265.00ms 
facts 925.88ms 
answer set 1,072.63ms 
facts 215.50ms 
answer set 377.50ms 
facts 1,023.00ms 
answer set 1,206.50ms 
facts 121.50ms 
answer set 275.00ms 
facts 143.50ms 
answer set 293.50ms 
facts 1,003.73ms 
answer set 1,165.91ms 
facts 3,829.02ms 
answer set 3,985.07ms 
