Iteration; Rate; Sensors; Actuators
353;59.00;;;
354;59.74;;;
355;57.42;;;
356;61.42;;;
357;59.34;;;
358;59.35;;;
359;59.35;;;
360;58.67;;;
361;58.98;;;
362;60.43;;;
363;59.17;;;
364;59.53;;;
365;59.33;;;
366;59.36;;;
367;59.05;;;
368;59.66;;;
369;56.58;;;
370;62.41;;;
371;59.34;;;
372;58.14;;;
373;60.61;;;
374;59.35;;;
375;57.34;;;
376;61.50;;;
377;59.35;;;
378;59.35;;;
379;59.18;;;
380;59.52;;;
381;59.35;;;
382;59.35;;;
383;59.24;;;
384;57.31;;;
385;60.73;;;
386;60.20;;;
387;59.38;;;
388;57.83;;;
389;60.21;;;
390;60.06;;;
391;59.14;;;
392;59.00;;;
393;59.93;;;
394;59.35;;;
395;59.05;;;
396;59.65;;;
397;56.80;;;
398;62.15;;;
399;59.35;;;
400;59.06;;;
401;59.65;;;
402;58.22;;;
403;60.53;;;
404;59.35;;;
405;58.62;;;
406;58.99;;;
407;60.47;;;
408;59.16;;;
409;59.54;;;
410;59.35;;;
411;57.98;;;
412;60.79;;;
413;58.84;;;
414;58.92;;;
415;60.31;;;
416;59.13;;;
417;57.24;;;
418;60.93;;;
419;59.74;;;
420;58.95;;;
421;60.24;;;
422;57.61;;;
423;59.06;;;
424;60.75;;;
425;60.08;;;
426;59.35;;;
427;53.79;;;
428;57.80;;;
429;60.66;;;
430;59.66;;;
431;59.35;;;
432;59.32;;;
433;57.16;;;
434;61.68;;;
435;59.41;;;
436;58.51;;;
437;60.01;;;
438;19.10;Y;;
439;59.32;;;
440;59.36;;;
441;57.79;;;
442;60.99;;;
443;58.81;;;
444;59.89;;;
445;59.37;;;
446;59.30;;;
447;59.40;;;
448;59.34;;;
449;59.36;;Y;
450;57.32;;;
451;60.84;;;
452;58.93;;;
453;60.43;;;
454;58.75;;;
455;57.40;;;
456;61.30;;;
457;60.09;;;
458;59.34;;;
459;59.00;;;
460;58.84;;;
461;60.21;;;
462;59.35;;;
463;59.06;;;
464;58.77;;;
465;60.27;;;
466;59.35;;;
467;57.42;;;
468;61.41;;;
469;59.35;;;
470;59.35;;;
471;59.18;;;
472;59.50;;;
473;56.80;;;
474;62.17;;;
475;59.32;;;
476;59.38;;;
477;59.35;;;
478;59.35;;;
479;59.35;;;
480;59.34;;;
481;59.36;;;
482;58.01;;;
483;60.72;;;
484;59.10;;;
485;59.63;;;
486;59.35;;;
487;59.34;;;
488;59.36;;;
489;59.35;;;
490;59.32;;;
491;59.38;;;
492;58.45;;;
493;58.90;;;
494;60.76;;;
495;59.35;;;
496;59.34;;;
497;59.36;;;
498;59.34;;;
499;59.35;;;
500;59.35;;;
501;59.35;;;
502;56.93;;;
503;61.98;;;
504;59.35;;;
505;59.35;;;
506;59.34;;;
507;57.73;;;
508;61.08;;;
509;59.35;;;
510;59.35;;;
511;58.82;;;
512;58.77;;;
513;58.85;;;
514;60.80;;;
515;59.55;;;
516;59.35;;;
517;59.35;;;
518;59.34;;;
519;58.26;;;
520;60.48;;;
521;57.68;;;
522;61.12;;;
523;59.34;;;
524;56.65;;;
525;62.33;;;
526;59.24;;;
527;57.13;;;
528;61.88;;;
529;59.35;;;
530;57.52;;;
531;61.30;;;
532;59.33;;;
533;59.37;;;
534;59.35;;;
535;58.90;;;
536;57.22;;;
537;62.10;;;
538;59.38;;;
539;59.02;;;
540;57.16;;;
541;60.79;;;
542;60.57;;;
543;59.33;;;
544;59.38;;;
545;59.34;;;
546;59.36;;;
547;59.33;;;
548;57.12;;;
549;58.04;;;
550;59.32;;;
551;59.37;;;
552;59.01;;;
553;59.70;;;
554;58.17;;;
555;60.58;;;
556;59.08;;;
557;58.93;;;
558;58.91;;;
559;58.97;;;
560;60.92;;;
561;59.35;;;
562;56.59;;;
563;58.99;;;
564;62.80;;;
565;58.18;;;
566;57.99;;;
567;62.05;;;
568;59.35;;;
569;57.86;;;
570;60.92;;;
571;59.35;;;
572;59.35;;;
573;56.97;;;
574;61.43;;;
575;57.16;;;
576;62.24;;;
577;59.35;;;
578;59.34;;;
579;58.22;;;
580;58.98;;;
581;60.92;;;
582;59.36;;;
583;59.34;;;
584;59.34;;;
585;59.36;;;
586;58.05;;;
587;60.71;;;
588;59.35;;;
589;59.35;;;
590;59.14;;;
591;59.20;;;
592;58.88;;;
593;60.19;;;
594;58.98;;;
595;58.45;;;
596;60.67;;;
597;58.76;;;
598;21.95;Y;;
599;58.02;;;
600;60.71;;;
601;58.95;;;
602;58.92;;;
603;60.22;;;
604;59.35;;;
605;57.31;;;
606;61.54;;;
607;59.35;;;
608;57.01;;;
609;59.34;;;
610;59.34;;;
611;58.95;;;
612;59.77;;;
613;59.34;;;
614;59.35;;Y;
615;59.01;;;
616;58.92;;;
617;60.14;;;
