Iteration; Rate
15;60.36
350;60.36
533;60.36
720;58.99
891;58.80
1048;62.23
1232;58.36
1417;60.36
1639;60.37
1929;60.38
2272;61.39
2447;59.87
2789;59.86
2952;62.53
3101;59.42
3308;58.86
3646;60.49
3797;60.87
4003;61.03
4307;60.36
4577;61.68
4906;59.59
5064;60.68
5349;59.12
5499;60.17
5799;60.56
6099;61.63
6257;61.01
6501;58.96
6652;60.36
6814;60.36
7115;60.35
7359;58.80
7557;59.16
7742;58.87
7873;63.24
8064;60.10
8268;59.13
8522;59.10
8668;62.59
8838;62.42
