facts 25.83ms 
answer set 209.40ms 
facts 31.84ms 
answer set 229.50ms 
facts 26.71ms 
answer set 204.50ms 
facts 26.24ms 
answer set 219.13ms 
facts 25.11ms 
answer set 194.26ms 
facts 29.84ms 
answer set 210.20ms 
facts 27.48ms 
answer set 194.67ms 
facts 14.94ms 
answer set 266.34ms 
facts 21.54ms 
answer set 225.52ms 
facts 18.09ms 
answer set 185.05ms 
facts 29.69ms 
answer set 212.00ms 
facts 28.38ms 
answer set 200.19ms 
facts 35.00ms 
answer set 71.78ms 
facts 30.90ms 
answer set 201.92ms 
facts 25.85ms 
answer set 179.04ms 
facts 23.53ms 
answer set 160.77ms 
facts 27.51ms 
answer set 177.49ms 
facts 28.77ms 
answer set 173.44ms 
facts 29.82ms 
answer set 214.18ms 
facts 23.36ms 
answer set 181.42ms 
facts 32.68ms 
answer set 211.07ms 
facts 35.77ms 
answer set 230.49ms 
facts 31.59ms 
answer set 215.31ms 
facts 29.50ms 
answer set 200.03ms 
facts 29.36ms 
answer set 205.38ms 
facts 24.56ms 
answer set 181.70ms 
facts 23.63ms 
answer set 179.84ms 
facts 23.92ms 
answer set 179.84ms 
facts 29.54ms 
answer set 213.17ms 
facts 21.54ms 
answer set 164.06ms 
facts 30.95ms 
answer set 220.62ms 
facts 28.64ms 
answer set 215.17ms 
